tamaño,resultado,frase_original,texto_extraido
1,0.0,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,
3,0.0,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,
5,0.0,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,
7,21.6,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBMEVBIFByb3RMTzipCTANnEUdviEThcmluclecn
9,84.55,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RlYZMpw7MulGRlIGxhIGluZm9ybWFjw6lvbiBtZWRpYWSOzSBOwbljbmljYXMgZGUgZXNjZWSvZBJhZsOtYsBhy806c3RpYZEgQWxiZXJObyBNYXyOaWAgT3JlwZFhlHkgUmgkcmInbyBHYWxsZWdvElhcmlu
11,84.3,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpwZNulGRIIGxhlGluZm9ybWFjw6lvbiBtZWRpYWSOZSBOwbljbmljYXMgZGUgZXNjZWSvZBJhZsOtYSBhy806c3RpYZEgQWxiZxjobyBNYXJOaW4gT3JlwTFhlHkgUmgkcmInbyBHYWxsZWdvlElhcmlu
13,87.13,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIY2NpwZNulGRIGxhlGluzmgybWFjw6lvbiBtZWRpYWSOZSBOwbljbmljYXMgZGUgZXNjZWSvZBJhZsOtYSBhY8o6c3RpYZEgQWxiZXJObyBNYXJOaW4gT3JlwZFhIHkgUmgkcmlnbyBHYWxsZWdvIElhcml
15,86.63,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhlGluZmgybWFjwblvbiBtZWRpYWSOZSBOwbljbmljYXMgZGUgZXNjZWSvZBJhZsOtYSBhY8O6cZRpY2EgQWxiZXJObyBNYXJOaW4gT3JIwZFhlHkgUmgkcmlnbyBHYWxsZWdvlElhcmlu
17,86.63,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIY2Npw7NulGRIIGxhlGluzmgybWFjw6lvbiBtZWRpYWSOZSBOw6IjbmljYXMgZGUgZXNjZWSvZaJhZsOtYSBhY806c3RpY2EgQWxiZXJObyBNYXJOaW4gT3JIwZFhlHkgUmgkcmInbyBHYWxsZWdvlElhcmlu
19,86.63,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhlGluZmgybWFjw6lvbiBtZWRpYWSOZSBOw6ljbmIjYXMgZGUgZXNjZWSvZ3JhZsOtYSBhY806c3RpY2EgQWxizXJObyBNYXJOaW4gT3JlwZFhlHkgUmgkcmInbyBHYWxsZWdvlElhcmlu
