tamaño,fuente,anchura,resultado,frase_original,texto_extraido
1,ocr-a-std,7800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
1,ocr-a-std,3800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
1,ocr-a-std,1800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
1,ocr-a-std,5800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
1,ocr-a-std,4800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
1,ocr-a-std,800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
1,ocr-a-std,2800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
1,ocr-a-std,6800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
1,ocr-a-std,8800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
3,ocr-a-std,2800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
3,ocr-a-std,800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
1,ocr-a-std,9800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
3,ocr-a-std,3800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
3,ocr-a-std,1800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
3,ocr-a-std,5800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
3,ocr-a-std,4800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
3,ocr-a-std,6800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
5,ocr-a-std,1800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
5,ocr-a-std,800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
3,ocr-a-std,9800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
3,ocr-a-std,8800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
5,ocr-a-std,3800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
3,ocr-a-std,7800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
5,ocr-a-std,2800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
5,ocr-a-std,4800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
5,ocr-a-std,5800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
5,ocr-a-std,7800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
5,ocr-a-std,8800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
5,ocr-a-std,6800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
7,ocr-a-std,1800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
5,ocr-a-std,9800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
7,ocr-a-std,800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
7,ocr-a-std,2800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
7,ocr-a-std,3800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
7,ocr-a-std,4800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
7,ocr-a-std,5800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
7,ocr-a-std,6800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
7,ocr-a-std,7800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
7,ocr-a-std,9800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
7,ocr-a-std,8800,0.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,
9,ocr-a-std,800,66.67,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,"Jeddepsideisothiocyanocrandrache
hardpandiluvianism75L815quintaryunsaintlikeunmappeddepsidi y"
9,ocr-a-std,2800,66.67,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,"Jeddepsideisothiocyanocrandrache
hardpandiluvianism75L815quintaryunsaintlikeunmappeddepsidi y"
9,ocr-a-std,3800,66.67,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,"Jeddepsideisothiocyanocrandrache
hardpandiluvianism75L815quintaryunsaintlikeunmappeddepsidi y"
9,ocr-a-std,5800,66.67,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,"Jeddepsideisothiocyanocrandrache
hardpandiluvianism75L815quintaryunsaintlikeunmappeddepsidi y"
9,ocr-a-std,4800,66.67,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,"Jeddepsideisothiocyanocrandrache
hardpandiluvianism75L815quintaryunsaintlikeunmappeddepsidi y"
9,ocr-a-std,7800,66.67,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,"Jeddepsideisothiocyanocrandrache
hardpandiluvianism75L815quintaryunsaintlikeunmappeddepsidi y"
9,ocr-a-std,1800,66.67,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,"Jeddepsideisothiocyanocrandrache
hardpandiluvianism75L815quintaryunsaintlikeunmappeddepsidi y"
9,ocr-a-std,6800,66.67,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,"Jeddepsideisothiocyanocrandrache
hardpandiluvianism75L815quintaryunsaintlikeunmappeddepsidi y"
